mean_delta,sd_delta,model,water_range,variable,converted_delta,converted_sd,correct_delta,correct_sd
647.6435498459731,101.73052826413847,2km,200m,CO2,647.6435498459731,101.73052826413847,647.6435498459731,101.73052826413847
854.3021338454596,179.86523148848707,2km,bottom,CO2,854.3021338454596,179.86523148848707,854.3021338454596,179.86523148848707
333.8249929439762,47.312333008167016,2km,surface,CO2,333.8249929439762,47.312333008167016,333.8249929439762,47.312333008167016
2.550694306570562,0.16112309460423102,2km,200m,temp,2.550694306570562,0.16112309460423102,2.550694306570562,0.16112309460423102
2.0928930439054265,0.576553289519629,2km,bottom,temp,2.0928930439054265,0.576553289519629,2.0928930439054265,0.576553289519629
2.8552838628497224,0.11567995334569585,2km,surface,temp,2.8552838628497224,0.11567995334569585,2.8552838628497224,0.11567995334569585
-0.5221797542475259,0.06946686132096522,2km,200m,oxygen,-0.01171326304446171,0.0015582442883067093,-0.5221797542475259,0.06946686132096522
-26.766642076229495,3.7585923981319533,2km,bottom,oxygen,-0.6004153108303284,0.08431077819107598,-0.6004153108303284,0.08431077819107598
-17.287866856107666,1.9556626996612705,2km,surface,oxygen,-0.3877923843581873,0.04386840248217669,-0.3877923843581873,0.04386840248217669
-0.31246836766310365,0.009806773167429514,2km,200m,pH,-0.31246836766310365,0.009806773167429514,-0.31246836766310365,0.009806773167429514
-0.282509474421308,0.0544068577855424,2km,bottom,pH,-0.282509474421308,0.0544068577855424,-0.282509474421308,0.0544068577855424
-0.26932506968490694,0.014042432935676549,2km,surface,pH,-0.26932506968490694,0.014042432935676549,-0.26932506968490694,0.014042432935676549
758.8649908409783,157.41049305723143,12km,200m,CO2,758.8649908409783,157.41049305723143,758.8649908409783,157.41049305723143
767.5225467803203,272.46539707501796,12km,bottom,CO2,767.5225467803203,272.46539707501796,767.5225467803203,272.46539707501796
429.8805307016166,12.615013333514229,12km,surface,CO2,429.8805307016166,12.615013333514229,429.8805307016166,12.615013333514229
2.1520838590396547,0.4779817793124486,12km,200m,temp,2.1520838590396547,0.4779817793124486,2.1520838590396547,0.4779817793124486
1.7800549299348438,0.6316979180581165,12km,bottom,temp,1.7800549299348438,0.6316979180581165,1.7800549299348438,0.6316979180581165
3.1289194896558774,0.2753143220376736,12km,surface,temp,3.1289194896558774,0.2753143220376736,3.1289194896558774,0.2753143220376736
-20.57488314619061,9.402221126287547,12km,200m,oxygen,-0.4615250140206569,0.21090570509211362,-0.4615250140206569,0.21090570509211362
-19.168703493437167,12.01539879494075,12km,bottom,oxygen,-0.42998232775890016,0.26952313934893635,-0.42998232775890016,0.26952313934893635
-14.738820697049402,4.5539235830339235,12km,surface,oxygen,-0.3306135145711925,0.10215123121600159,-0.3306135145711925,0.10215123121600159
-0.30551501524865166,0.02898136620773776,12km,200m,pH,-0.30551501524865166,0.02898136620773776,-0.30551501524865166,0.02898136620773776
-0.250385713747538,0.08073921872393339,12km,bottom,pH,-0.250385713747538,0.08073921872393339,-0.250385713747538,0.08073921872393339
-0.2800638173021477,0.020381725268930954,12km,surface,pH,-0.2800638173021477,0.020381725268930954,-0.2800638173021477,0.020381725268930954
