"","English_Name","Genus","Species","treatment","Author","Pub_Year","Journal","Class","Order","Collection_Location","Study_Type","Distribution","Calcification","Life_stage","Life_stage_category","Class_1","Order_1","Extracted_from","Comments","Response_variable","rate_or_biomass","response_type","response_type_2","Effect of treatment","Study_Duration","Study_Duration_Units","citation details","response","SE_response","LCI_response","UCI_response","unit_response","sample_size","pH","uatm","omega ar","DIC _umol_kg-1","ppm CO2","CO2","salinity","temperature","oxygen_in_orig_units","orig_oxygen_units","oxygen","unit_conversion_citation","treatment_var","treatment_name_or_other_details","comments","extraction method","study_design","study","lowerSE","upperSE","max_response","rel_response","rel_upperSE","rel_lowerSE","SE_response_for_resampling","treat_value"
"1","Dungeness crab","Cancer","magister","pH","Christmas",2013,"Western Washington University","Malacostraca","Decapoda","Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"swimming_speed","rate","movement","activity_speed","positive",5,"Days","Fig. 5_ 5 days",0.38,0.1,NA,NA,"mm/sec",30,7.8,506,NA,NA,NA,506,31.51,15.93,NA,NA,NA,NA,"CO2","control",NA,NA,"anova","Christmas 2013 Dungeness crab Larvae swimming_speed CO2",0.28,0.48,0.66,0.575757575757576,0.727272727272727,0.424242424242424,0.151515151515151,506
"2","Dungeness crab","Cancer","magister","pH","Christmas",2013,"Western Washington University","Malacostraca","Decapoda","Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"swimming_speed","rate","movement","activity_speed","positive",5,"Days","Fig. 5_ 5 days",0.66,0.14,NA,NA,"mm/sec",29,7.53,1031,NA,NA,NA,1031,31.51,15.93,NA,NA,NA,NA,"CO2","high",NA,NA,"anova","Christmas 2013 Dungeness crab Larvae swimming_speed CO2",0.52,0.8,0.66,1,1.21212121212121,0.787878787878788,0.212121212121212,1031
"3","Dungeness crab","Cancer","magister","pH","Christmas",2013,"Western Washington University","Malacostraca","Decapoda","Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"turning_frequency","rate","movement","activity_speed","positive",5,"Days","Fig. 9_ 5 days",0.46,0.08,NA,NA,"turns/sec",30,7.8,506,NA,NA,NA,506,31.51,15.93,NA,NA,NA,NA,"CO2","control",NA,NA,"anova","Christmas 2013 Dungeness crab Larvae turning_frequency CO2",0.38,0.54,0.78,0.58974358974359,0.692307692307692,0.487179487179487,0.102564102564103,506
"4","Dungeness crab","Cancer","magister","pH","Christmas",2013,"Western Washington University","Malacostraca","Decapoda","Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"turning_frequency","rate","movement","activity_speed","positive",5,"Days","Fig. 9_ 5 days",0.78,0.11,NA,NA,"turns/sec",29,7.53,1031,NA,NA,NA,1031,31.51,15.93,NA,NA,NA,NA,"CO2","high",NA,NA,"anova","Christmas 2013 Dungeness crab Larvae turning_frequency CO2",0.67,0.89,0.78,1,1.14102564102564,0.858974358974359,0.141025641025641,1031
"5","Dungeness crab","Cancer","magister","pH","Christmas",2013,"Western Washington University","Malacostraca","Decapoda","Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"feeding_rate","rate","consumption","consumption","negative",5,"Days","Fig. 13_ 5 days",3.1,0.25,NA,NA,"food unit per day",50,7.8,506,NA,NA,NA,506,31.51,15.93,NA,NA,NA,NA,"CO2","control",NA,NA,"anova","Christmas 2013 Dungeness crab Larvae feeding_rate CO2",2.85,3.35,3.1,1,1.08064516129032,0.919354838709677,0.0806451612903225,506
"6","Dungeness crab","Cancer","magister","pH","Christmas",2013,"Western Washington University","Malacostraca","Decapoda","Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"feeding_rate","rate","consumption","consumption","negative",5,"Days","Fig. 13_ 5 days",2.5,0.25,NA,NA,"food unit per day",50,7.53,1031,NA,NA,NA,1031,31.51,15.93,NA,NA,NA,NA,"CO2","high",NA,NA,"anova","Christmas 2013 Dungeness crab Larvae feeding_rate CO2",2.25,2.75,3.1,0.806451612903226,0.887096774193548,0.725806451612903,0.0806451612903226,1031
"7","Dungeness crab","Cancer","magister","pH","Descoteaux",2014,"Thesis University of Alaska Fairbanks","Malacostraca","Decapoda","Kachemak Bay_ Alaska_ NE Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016","Brood from 1 female","survival","biomass","survival","ability_productivity_growth_survival","negative",10,"Days","Fig. 5_ day 10",44,NA,NA,NA,"out of 100",1,8.05,NA,NA,NA,NA,NA,NA,10.15,NA,NA,NA,NA,"pH","control","Larvae from only one female. Value of response not given",NA,"anova","Descoteaux 2014 Dungeness crab Larvae survival CO2",NA,NA,44,1,NA,NA,0,8.05
"8","Dungeness crab","Cancer","magister","pH","Descoteaux",2014,"Thesis University of Alaska Fairbanks","Malacostraca","Decapoda","Kachemak Bay_ Alaska_ NE Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016","Brood from 1 female","survival","biomass","survival","ability_productivity_growth_survival","negative",10,"Days","Fig. 5_ day 10",25,NA,NA,NA,"out of 100",1,7.5,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,"pH","high","Larvae from only one female. Value of response not given",NA,"anova","Descoteaux 2014 Dungeness crab Larvae survival CO2",NA,NA,44,0.568181818181818,NA,NA,0,7.5
"9","Dungeness crab","Cancer","magister","pH","Descoteaux",2014,"Thesis University of Alaska Fairbanks","Malacostraca","Decapoda","Kachemak Bay_ Alaska_ NE Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016","Brood from 1 female","size","biomass","growth","ability_productivity_growth_survival","no diff",6,"Days","Fig. 8_ day 6",0.0037,0.0013,NA,NA,"mg",3,8.05,NA,NA,NA,NA,NA,NA,10.15,NA,NA,NA,NA,"pH","control","Larvae from only one female. Used the highest pH contrast",NA,"anova","Descoteaux 2014 Dungeness crab Larvae size CO2",0.0024,0.005,0.0037,1,1.35135135135135,0.648648648648649,0.351351351351351,8.05
"10","Dungeness crab","Cancer","magister","pH","Descoteaux",2014,"Thesis University of Alaska Fairbanks","Malacostraca","Decapoda","Kachemak Bay_ Alaska_ NE Pacific","Several single species lab studies","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016","Brood from 1 female","size","biomass","growth","ability_productivity_growth_survival","no diff",6,"Days","Fig. 8_ day 6",0.002,0.0015,NA,NA,"mg",3,7.5,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,"pH","high","Larvae from only one female. Used the highest pH contrast",NA,"anova","Descoteaux 2014 Dungeness crab Larvae size CO2",5e-04,0.0035,0.0037,0.540540540540541,0.945945945945946,0.135135135135135,0.405405405405405,7.5
