English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Class,Order,Extracted_from,Comments,Response_variable,rate_or_biomass,response_type,response_type_2,Effect of treatment,Study_Duration,Study_Duration_Units,citation details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,omega ar,DIC _umol_kg-1,ppm CO2,CO2,salinity,temperature,oxygen_in_orig_units,orig_oxygen_units,oxygen,unit_conversion_citation,treatment_var,treatment_name_or_other_details,comments,extraction method,study_design
Dungeness crab,Cancer,magister,pH,Hans et al,2014,Marine Biology,Malacostraca,Decapoda,Local supermarket (Superstore_ Winnipeg_ Manitoba),Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,Busch and McHany_2016,Artificial seawater 9-15 days of incubation,oxygen consumption,rate,metabolic rate,consumption,negative,15,Days,Fig. 4,0.265,0.06,,,umol g-1 h-1,5,8.1,,,,,,32,14,,,,,CO2,control,,,anova
Dungeness crab,Cancer,magister,pH,Hans et al,2014,Marine Biology,Malacostraca,Decapoda,Local supermarket (Superstore_ Winnipeg_ Manitoba),Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,Busch and McHany_2016,Artificial seawater 9-15 days of incubation,oxygen consumption,rate,metabolic rate,consumption,negative,15,Days,Fig. 4,0.01,0.007,,,umol g-1 h-1,5,7.4,,,,,,32,14,,,,,CO2,high,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching probability,biomass,survival,ability_productivity_growth_survival,no diff,34,Days,p6,0.77,,0.62,0.97,proportion of 593,6,8,466,,2058,,466,30.5,,,,,,CO2,control,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching probability,biomass,survival,ability_productivity_growth_survival,no diff,34,Days,p6,0.59,,0.26,0.8,proportion of 593,6,7.5,1781,,2208,,1781,30.5,,,,,,CO2,medium,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching probability,biomass,survival,ability_productivity_growth_survival,no diff,34,Days,p6,0.72,,0.48,0.9,proportion of 593,6,7.1,3920,,2306,,3920,30.5,,,,,,CO2,high,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching timing,biomass,growth,ability_productivity_growth_survival,negative,34,Days,Fig.3,1,,1,1,acceleration_factor_compared_to_control,6,8,466,,2058,,466,30.5,,,,,,CO2,control,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching timing,biomass,growth,ability_productivity_growth_survival,negative,34,Days,Fig.3,0.93,,0.91,0.94,acceleration_factor_compared_to_control,6,7.5,1781,,2208,,1781,30.5,,,,,,CO2,medium,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching timing,biomass,growth,ability_productivity_growth_survival,negative,34,Days,Fig.3,1.24,,1.22,1.26,acceleration_factor_compared_to_control,6,7.1,3920,,2306,,3920,30.5,,,,,,CO2,high,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval survival,biomass,survival,ability_productivity_growth_survival,negative,45,Days,p7,1,,1,1,acceleration_factor_compared_to_control,38,8,466,,2058,,466,30.5,,,,,,CO2,control,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval survival,biomass,survival,ability_productivity_growth_survival,negative,45,Days,p7,0.544,,0.349,0.879,acceleration_factor_compared_to_control,37,7.5,1781,,2208,,1781,30.5,,,,,,CO2,medium,,,multi-level anova
